Climate_Model2,Discount_Rate,Stakeholder,Treatment_Type,NPV
GFDL,7,Private,Mechanical,243.16
PCM,7,Private,Mechanical,243.45
GFDL,5,Private,Mechanical,288.58
PCM,5,Private,Mechanical,287.77
GFDL,7,SRCD,Mechanical,273.22
PCM,7,SRCD,Mechanical,279.40
GFDL,5,SRCD,Mechanical,325.97
PCM,5,SRCD,Mechanical,335.40
GFDL,7,USFS,Mechanical,24.11
PCM,7,USFS,Mechanical,24.11
GFDL,5,USFS,Mechanical,29.69
PCM,5,USFS,Mechanical,29.69
GFDL,7,Private,Hand,111.76
PCM,7,Private,Hand,111.95
GFDL,5,Private,Hand,136.21
PCM,5,Private,Hand,135.40
GFDL,7,SRCD,Hand,141.82
PCM,7,SRCD,Hand,148.00
GFDL,5,SRCD,Hand,173.60
PCM,5,SRCD,Hand,183.03
GFDL,7,USFS,Hand,24.11
PCM,7,USFS,Hand,24.11
GFDL,5,USFS,Hand,29.69
PCM,5,USFS,Hand,29.69
